"","row","column","cor","p"
"1","roll1.et","roll2.et",0.983775617927025,0
"2","roll2.Precip","roll3.Precip",1,0
"3","roll1.et","roll3.et",0.980332417129879,0
"4","roll2.et","roll3.et",0.994342863213225,0
"5","roll1.Precip","roll7.Precip",0.99570091808295,0
"6","roll1.et","roll7.et",0.923872761056107,0
"7","roll2.et","roll7.et",0.968327764648831,0
"8","roll3.et","roll7.et",0.971168487873545,0
"9","roll1.et","roll15.et",0.875870009830962,0
"10","roll2.et","roll15.et",0.9108095127655,0
"11","roll3.et","roll15.et",0.910935660910567,0
"12","roll7.et","roll15.et",0.969288923687781,0
"13","roll7.et","roll30.et",0.859620912455207,0
"14","roll15.et","roll30.et",0.9528518252866,0
"15","C_dsm_500","C_Pla_dsm_500",0.832359871504463,0
"16","C_dsm_100","C_Pro_dsm_100",0.851529470667824,0
"17","C_dsm_300","C_Pro_dsm_300",0.890818223260522,0
"18","C_dsm_500","C_Pro_dsm_500",0.861240519301649,0
"19","C_dsm_5000","C_Pro_dsm_5000",0.892244814141623,0
"20","dsm_100","dsm_300",0.997877177761426,0
"21","dsm_100","dsm_500",0.995477121410776,0
"22","dsm_300","dsm_500",0.994634452954423,0
"23","dsm_100","dsm_60",0.999833094343815,0
"24","dsm_300","dsm_60",0.997587836202636,0
"25","dsm_500","dsm_60",0.995202187053416,0
"26","E_dsm_100","E_dsm_60",0.900340395475629,0
"27","N_dsm_100","N_dsm_60",0.965191128047151,0
"28","N_S_dsm_100","N_S_dsm_300",0.805812662690385,0
"29","N_dsm_500","N_S_dsm_500",0.844896197756972,0
"30","N_S_dsm_100","N_S_dsm_60",0.963919693541463,0
"31","A_MF_dsm_100","NTWI_MF_dsm_100",0.942705435178871,0
"32","A_MF_dsm_60","NTWI_MF_dsm_60",0.940411822819137,0
"33","S_dsm_100","S_dsm_60",0.884287162520575,0
"34","TPI_1_3_100","TPI_1_5_100",0.911323303096983,0
"35","TPI_1_3_300","TPI_1_5_300",0.900223201741062,0
"36","TPI_1_3_500","TPI_1_5_500",0.877211966771272,0
"37","TPI_1_3_100","TPI_1_7_100",0.824280585636685,0
"38","TPI_1_5_100","TPI_1_7_100",0.975385680077076,0
"39","TPI_1_5_300","TPI_1_7_300",0.957092734373427,0
"40","TPI_1_5_500","TPI_1_7_500",0.956634404590141,0
"41","TPI_1_3_100","TPI_3_5_100",0.874145078713574,0
"42","TPI_1_5_100","TPI_3_5_100",0.996295362594581,0
"43","TPI_1_7_100","TPI_3_5_100",0.985200064454743,0
"44","TPI_1_3_300","TPI_3_5_300",0.836953388464685,0
"45","TPI_1_5_300","TPI_3_5_300",0.990817103629534,0
"46","TPI_1_7_300","TPI_3_5_300",0.97266890637015,0
"47","TPI_1_5_500","TPI_3_5_500",0.986985080200099,0
"48","TPI_1_7_500","TPI_3_5_500",0.97895482020698,0
"49","TPI_1_3_100","TPI_3_7_100",0.800988809599107,0
"50","TPI_1_5_100","TPI_3_7_100",0.966615056093336,0
"51","TPI_1_7_100","TPI_3_7_100",0.99909535828563,0
"52","TPI_3_5_100","TPI_3_7_100",0.979900473212325,0
"53","TPI_1_5_300","TPI_3_7_300",0.935891163157813,0
"54","TPI_1_7_300","TPI_3_7_300",0.996988723033842,0
"55","TPI_3_5_300","TPI_3_7_300",0.961063473153527,0
"56","TPI_1_5_500","TPI_3_7_500",0.929683152567398,0
"57","TPI_1_7_500","TPI_3_7_500",0.995816160477736,0
"58","TPI_3_5_500","TPI_3_7_500",0.965657402899504,0
"59","g_100","g_60",0.894271224461787,0
"60","ed_100","nir_100",0.942186685761648,0
"61","ed_300","nir_300",0.94397586617117,0
"62","ed_60","nir_60",0.935436006224777,0
"63","nir_100","nir_60",0.827417587711922,0
"64","g_100","r_100",0.833724857434834,0
"65","g_300","r_300",0.816111753706068,0
"66","r_100","r_300",0.881059349075157,0
"67","g_60","r_60",0.836120429040584,0
"68","r_100","r_60",0.949083869230172,0
"69","r_300","r_60",0.889390198831186,0
"70","ttvi_100","ttvi_300",0.935204812347236,0
"71","ttvi_100","ttvi_60",0.969916334666177,0
"72","ttvi_300","ttvi_60",0.938555064221683,0
