"","label","rmse","mae","mbe","r2","r2.fmt","n","res_q1","res_q3","res_iqr","mae_txt","mbe_txt","r2_txt","label_ordered"
"1","BRT 1",5.54651202710068,3.67410410157992,0.315812109356622,0.622301869490435,0.62,116,-1.55730005864063,2.20145531757057,3.7587553762112,"MAE==3.674","MBE==0.316","italic(R) ^ 2 == 0.62","BRT 1"
"2","BRT 10",6.2871597989043,4.42042023672527,-0.318045953797999,0.65557344710171,0.66,115,-2.76332546309097,2.61491216059053,5.37823762368149,"MAE==4.42","MBE==-0.318","italic(R) ^ 2 == 0.66","BRT 10"
"3","BRT 11",6.38249140418382,4.46853943904516,0.385867139464901,0.663548388743397,0.66,111,-1.76084184082335,3.58454966935575,5.3453915101791,"MAE==4.469","MBE==0.386","italic(R) ^ 2 == 0.66","BRT 11"
"4","BRT 12",5.81078917605937,4.14354611165883,0.173142360027226,0.683483752999666,0.68,111,-1.93256964548295,3.07351797118765,5.0060876166706,"MAE==4.144","MBE==0.173","italic(R) ^ 2 == 0.68","BRT 12"
"5","BRT 13",6.94414462936535,4.85431999943642,-0.0309887468722524,0.675871474195967,0.68,115,-2.29191610665252,3.49977866875067,5.79169477540319,"MAE==4.854","MBE==-0.031","italic(R) ^ 2 == 0.68","BRT 13"
"6","BRT 14",4.9399078601004,3.3198169589098,0.492421787260989,0.72330721775736,0.72,105,-1.13740970307888,2.89297325924958,4.03038296232845,"MAE==3.32","MBE==0.492","italic(R) ^ 2 == 0.72","BRT 14"
"7","BRT 15",6.40158338098845,4.37849581669477,-0.274806865105547,0.68124474101258,0.68,112,-1.4918854398425,3.38071451635118,4.87259995619368,"MAE==4.378","MBE==-0.275","italic(R) ^ 2 == 0.68","BRT 15"
"8","BRT 16",5.47028811859752,3.18804826947617,-0.634823733251363,0.705322952837429,0.71,111,-1.87206718641618,1.25289645648766,3.12496364290384,"MAE==3.188","MBE==-0.635","italic(R) ^ 2 == 0.71","BRT 16"
"9","BRT 17",6.070663380171,3.94403967583504,-0.261850818173026,0.72978092768245,0.73,111,-1.69311471756356,2.48218235783287,4.17529707539643,"MAE==3.944","MBE==-0.262","italic(R) ^ 2 == 0.73","BRT 17"
"10","BRT 18",6.12053478336546,4.02283263224958,-0.473385707274374,0.604307142092705,0.6,122,-2.1895487860475,2.60889071378355,4.79843949983105,"MAE==4.023","MBE==-0.473","italic(R) ^ 2 == 0.6","BRT 18"
"11","BRT 19",6.74291694964139,4.5793253057158,0.0821442504149002,0.655537987328386,0.66,113,-1.67809813641225,2.82411167253596,4.50220980894821,"MAE==4.579","MBE==0.082","italic(R) ^ 2 == 0.66","BRT 19"
"12","BRT 2",5.71935016512562,3.92441475181181,1.26593061346595,0.633583494023487,0.63,112,-0.624320609076122,3.93089322454259,4.55521383361871,"MAE==3.924","MBE==1.266","italic(R) ^ 2 == 0.63","BRT 2"
"13","BRT 20",4.84049598286966,3.16326625565109,0.774317996020833,0.757707650650655,0.76,104,-0.712282045471244,2.49792366252217,3.21020570799341,"MAE==3.163","MBE==0.774","italic(R) ^ 2 == 0.76","BRT 20"
"14","BRT 21",5.68466529980807,3.75107723060743,0.207950928921835,0.659299015029394,0.66,111,-1.23184306315049,2.85851662632396,4.09035968947445,"MAE==3.751","MBE==0.208","italic(R) ^ 2 == 0.66","BRT 21"
"15","BRT 22",6.68778862785105,4.78411424821871,0.202695322160942,0.626076217592776,0.63,118,-2.50447017801366,3.49908952101239,6.00355969902604,"MAE==4.784","MBE==0.203","italic(R) ^ 2 == 0.63","BRT 22"
"16","BRT 23",5.37520577769646,3.53248056670278,1.18199071173239,0.707616805051381,0.71,103,-0.714689871836093,3.02014277911553,3.73483265095163,"MAE==3.532","MBE==1.182","italic(R) ^ 2 == 0.71","BRT 23"
"17","BRT 24",5.26506132232666,3.65349299024458,-0.289515992552158,0.755799247295131,0.76,105,-1.9899381972654,2.17903530875585,4.16897350602124,"MAE==3.653","MBE==-0.29","italic(R) ^ 2 == 0.76","BRT 24"
"18","BRT 25",5.2833350365521,3.71365246042471,0.138065406534154,0.652631254816961,0.65,110,-1.95540626430508,2.64723137592032,4.6026376402254,"MAE==3.714","MBE==0.138","italic(R) ^ 2 == 0.65","BRT 25"
"19","BRT 26",5.55449441350528,3.60952159205778,0.715299573295994,0.663967865275416,0.66,111,-1.30522959243884,2.54920050920935,3.85443010164819,"MAE==3.61","MBE==0.715","italic(R) ^ 2 == 0.66","BRT 26"
