"","label","rmse","mae","mbe","r2","r2.fmt","n","res_q1","res_q3","res_iqr","mae_txt","mbe_txt","r2_txt","label_ordered"
"1","ANN 1",6.40311140834437,4.62288243392957,1.27846042132704,0.496630342181347,0.5,116,-1.24316848008274,4.12166912788664,5.36483760796938,"MAE==4.623","MBE==1.278","italic(R) ^ 2 == 0.5","ANN 1"
"2","ANN 10",7.05570909598781,5.15451668629486,-0.645662354272081,0.566220562822828,0.57,115,-3.48221951140302,3.28930451032525,6.77152402172827,"MAE==5.155","MBE==-0.646","italic(R) ^ 2 == 0.57","ANN 10"
"3","ANN 11",6.67381115387822,4.76171802067926,0.166874239007762,0.632133735593461,0.63,111,-2.09789907241097,3.5378613296017,5.63576040201266,"MAE==4.762","MBE==0.167","italic(R) ^ 2 == 0.63","ANN 11"
"4","ANN 12",6.11859085491845,4.38761554467261,0.0357963485527664,0.649063454832812,0.65,111,-2.34181854216699,3.27337428898285,5.61519283114984,"MAE==4.388","MBE==0.036","italic(R) ^ 2 == 0.65","ANN 12"
"5","ANN 13",7.58385853810528,5.2147514255945,-0.460051473223863,0.613401481084978,0.61,115,-3.37473355384295,4.17625634649083,7.55098990033378,"MAE==5.215","MBE==-0.46","italic(R) ^ 2 == 0.61","ANN 13"
"6","ANN 14",5.69275917638757,4.0573882560833,0.449576523989985,0.632543649443244,0.63,105,-1.70346576499794,3.0683249240989,4.77179068909684,"MAE==4.057","MBE==0.45","italic(R) ^ 2 == 0.63","ANN 14"
"7","ANN 15",7.34743058666483,4.9955913183891,0.186847895525106,0.580092599003206,0.58,112,-1.46836665127721,4.52191581288763,5.99028246416484,"MAE==4.996","MBE==0.187","italic(R) ^ 2 == 0.58","ANN 15"
"8","ANN 16",5.54405301559002,3.89634923888641,0.145216156441152,0.697322138903282,0.7,111,-1.85397057073902,3.0358345895874,4.88980516032642,"MAE==3.896","MBE==0.145","italic(R) ^ 2 == 0.7","ANN 16"
"9","ANN 17",6.50640247341868,4.08195735020658,-0.855067001728239,0.689597261690369,0.69,111,-2.01876887694541,2.42643913634535,4.44520801329076,"MAE==4.082","MBE==-0.855","italic(R) ^ 2 == 0.69","ANN 17"
"10","ANN 18",6.82917915363178,4.95479463408257,0.753545789773049,0.507374960597472,0.51,122,-1.54173333202319,4.82805778191025,6.36979111393343,"MAE==4.955","MBE==0.754","italic(R) ^ 2 == 0.51","ANN 18"
