"","label","rmse","mae","mbe","r2","r2.fmt","n","res_q1","res_q3","res_iqr","mae_txt","mbe_txt","r2_txt","label_ordered"
"1","RF 1",5.61037430277839,3.92998885262725,0.651431444581273,0.613554201012185,0.61,116,-1.96725083333335,3.25581224999998,5.22306308333333,"MAE==3.93","MBE==0.651","italic(R) ^ 2 == 0.61","RF 1"
"2","RF 10",6.44570633747823,4.57163805258799,-0.23528113747413,0.637983255679461,0.64,115,-2.51465383333334,2.89749166666667,5.41214550000001,"MAE==4.572","MBE==-0.235","italic(R) ^ 2 == 0.64","RF 10"
"3","RF 11",6.13262267825009,4.26054456456457,0.0852069498069409,0.689376274127917,0.69,111,-1.86386666666668,3.32991166666667,5.19377833333334,"MAE==4.261","MBE==0.085","italic(R) ^ 2 == 0.69","RF 11"
"4","RF 12",5.97237276909561,4.16800769197769,-0.31770124410125,0.665635945324931,0.67,111,-1.99874666666669,3.43063666666667,5.42938333333335,"MAE==4.168","MBE==-0.318","italic(R) ^ 2 == 0.67","RF 12"
"5","RF 13",7.2226298814679,5.19290115486542,-0.0894953965368051,0.649352732004746,0.65,115,-2.44677359523811,4.01366483333333,6.46043842857144,"MAE==5.193","MBE==-0.089","italic(R) ^ 2 == 0.65","RF 13"
"6","RF 14",4.83022482632535,3.2991748707483,0.351887826757361,0.735457882820118,0.74,105,-1.00821433333331,2.78803,3.79624433333331,"MAE==3.299","MBE==0.352","italic(R) ^ 2 == 0.74","RF 14"
"7","RF 15",6.53026495766972,4.18411254180839,-0.477317521116788,0.668301008731223,0.67,112,-1.92489033333333,2.75591500000001,4.68080533333334,"MAE==4.184","MBE==-0.477","italic(R) ^ 2 == 0.67","RF 15"
"8","RF 16",5.38999600115751,3.47458386186186,-0.514123789789798,0.713909924019117,0.71,111,-2.00030216666667,2.27140333333332,4.2717055,"MAE==3.475","MBE==-0.514","italic(R) ^ 2 == 0.71","RF 16"
"9","RF 17",6.04252519385885,4.12480215801516,-0.39610354854856,0.732280111926487,0.73,111,-2.04062500000001,3.18875416666665,5.22937916666665,"MAE==4.125","MBE==-0.396","italic(R) ^ 2 == 0.73","RF 17"
"10","RF 18",6.10155950686575,4.13328087861046,-0.0849637669789283,0.606756843848872,0.61,122,-1.67046550000001,3.29200633333335,4.96247183333336,"MAE==4.133","MBE==-0.085","italic(R) ^ 2 == 0.61","RF 18"
"11","RF 19",6.30171396616071,4.0631896632954,-0.464449402022766,0.699140945048732,0.7,113,-1.97831904761907,2.55231399999997,4.53063304761904,"MAE==4.063","MBE==-0.464","italic(R) ^ 2 == 0.7","RF 19"
"12","RF 2",4.94604940483074,3.43802487131519,0.775138339002258,0.725969719308883,0.73,112,-0.717687499999998,2.75804591666667,3.47573341666667,"MAE==3.438","MBE==0.775","italic(R) ^ 2 == 0.73","RF 2"
"13","RF 20",4.49722162509141,2.99039547069597,0.488230668498158,0.790854486080602,0.79,104,-0.599371666666672,2.74856333333333,3.347935,"MAE==2.99","MBE==0.488","italic(R) ^ 2 == 0.79","RF 20"
"14","RF 21",5.59479248000435,3.86507746460747,0.0457219651079545,0.669986614780879,0.67,111,-1.38250333333334,2.72217499999999,4.10467833333333,"MAE==3.865","MBE==0.046","italic(R) ^ 2 == 0.67","RF 21"
"15","RF 22",6.51544538042458,4.65078074293785,0.0919844265536643,0.645099813130734,0.65,118,-2.58079833333334,3.5155995,6.09639783333334,"MAE==4.651","MBE==0.092","italic(R) ^ 2 == 0.65","RF 22"
"16","RF 23",4.63241558941139,3.25009329680998,0.571284240869156,0.782841293269341,0.78,103,-0.937301666666674,2.83038,3.76768166666668,"MAE==3.25","MBE==0.571","italic(R) ^ 2 == 0.78","RF 23"
"17","RF 24",5.03811078318729,3.50908167482993,-0.291307290249442,0.776398065457055,0.78,105,-1.69596666666668,2.30257000000001,3.99853666666669,"MAE==3.509","MBE==-0.291","italic(R) ^ 2 == 0.78","RF 24"
"18","RF 25",5.47186388300515,3.86315259047619,0.262012105627699,0.627398149895154,0.63,110,-2.07178483333333,2.41691666666666,4.48870149999999,"MAE==3.863","MBE==0.262","italic(R) ^ 2 == 0.63","RF 25"
"19","RF 26",5.36508117293392,3.64956704418704,0.917860840840829,0.686495097468358,0.69,111,-1.06875166666667,2.92898833333333,3.99774,"MAE==3.65","MBE==0.918","italic(R) ^ 2 == 0.69","RF 26"
"20","RF 27",5.18926951485467,3.82622071428571,0.98872069800569,0.732525043104634,0.73,117,-0.813726666666681,3.75370333333331,4.56742999999999,"MAE==3.826","MBE==0.989","italic(R) ^ 2 == 0.73","RF 27"
"21","RF 28",6.16094827267108,4.06759004761904,-0.0948384285714392,0.663158761082364,0.66,119,-2.40424333333335,2.94030466666665,5.344548,"MAE==4.068","MBE==-0.095","italic(R) ^ 2 == 0.66","RF 28"
"22","RF 29",4.88348831606611,3.33496589781746,0.849770739937633,0.7370420774238,0.74,112,-0.421201666666683,2.99486725,3.41606891666668,"MAE==3.335","MBE==0.85","italic(R) ^ 2 == 0.74","RF 29"
"23","RF 3",5.51655402160737,3.8655716402561,-0.578308200480202,0.710888544980336,0.71,119,-2.59218450000001,1.97058666666666,4.56277116666667,"MAE==3.866","MBE==-0.578","italic(R) ^ 2 == 0.71","RF 3"
"24","RF 30",5.77292983465691,4.14112239431913,-0.12453635421889,0.677855358195654,0.68,114,-2.44391250000002,2.99974833333333,5.44366083333335,"MAE==4.141","MBE==-0.125","italic(R) ^ 2 == 0.68","RF 30"
"25","RF 4",5.83337467899124,4.02555955240955,0.258658741598732,0.715776212940642,0.72,111,-0.874752380952386,3.47770499999999,4.35245738095238,"MAE==4.026","MBE==0.259","italic(R) ^ 2 == 0.72","RF 4"
"26","RF 5",6.98705627211631,4.67761334219577,-1.24851393505292,0.662077709515365,0.66,120,-2.66485983333334,3.06733149999999,5.73219133333333,"MAE==4.678","MBE==-1.249","italic(R) ^ 2 == 0.66","RF 5"
"27","RF 6",5.24308647244384,3.73453418212197,0.421455232247275,0.698977214426068,0.7,114,-1.71630999999999,2.84302059523809,4.55933059523808,"MAE==3.735","MBE==0.421","italic(R) ^ 2 == 0.7","RF 6"
"28","RF 7",5.44366893293095,3.73470289209262,0.126345491480985,0.689138273964094,0.69,109,-1.58216666666668,2.82112,4.40328666666668,"MAE==3.735","MBE==0.126","italic(R) ^ 2 == 0.69","RF 7"
"29","RF 8",4.73890492880446,3.27255134628237,0.13662446908938,0.717547024542935,0.72,114,-1.99360658333335,2.21492916666667,4.20853575000001,"MAE==3.273","MBE==0.137","italic(R) ^ 2 == 0.72","RF 8"
"30","RF 9",4.30547750527832,2.9571635974026,0.660320402597393,0.737927118659586,0.74,110,-0.811155833333353,2.49893583333333,3.31009166666668,"MAE==2.957","MBE==0.66","italic(R) ^ 2 == 0.74","RF 9"
"31",NA,5.68673498490623,3.8874433639318,0.0859155883978317,0.697849240609361,0.7,3375,-1.70630000000001,2.94180666666667,4.64810666666668,"MAE==3.887","MBE==0.086","italic(R) ^ 2 == 0.7",NA
