"","label","rmse","mae","mbe","r2","r2.fmt","n","res_q1","res_q3","res_iqr","mae_txt","mbe_txt","r2_txt","label_ordered"
"1","RVR 1",6.53249659815915,4.88856962694259,1.57327565374398,0.476082021685638,0.48,116,-2.00644144344484,5.10359318809476,7.1100346315396,"MAE==4.889","MBE==1.573","italic(R) ^ 2 == 0.48","RVR 1"
"2","RVR 10",7.07007877116125,4.9966846955401,-1.18657533111423,0.564451890993909,0.56,115,-3.95429383769556,2.23325335252756,6.18754719022312,"MAE==4.997","MBE==-1.187","italic(R) ^ 2 == 0.56","RVR 10"
"3","RVR 11",6.67301475248589,4.75856506120416,0.341851431141135,0.63222152702719,0.63,111,-2.39459586800438,3.59857959418311,5.9931754621875,"MAE==4.759","MBE==0.342","italic(R) ^ 2 == 0.63","RVR 11"
"4","RVR 12",6.19961726016806,4.51084081734479,0.620805041678735,0.639707246603998,0.64,111,-1.76188997584911,4.51702468980011,6.27891466564922,"MAE==4.511","MBE==0.621","italic(R) ^ 2 == 0.64","RVR 12"
"5","RVR 13",8.25143371131404,5.50596223437223,-0.879797476176645,0.542344623243088,0.54,115,-2.82384412730109,3.35940721228987,6.18325133959096,"MAE==5.506","MBE==-0.88","italic(R) ^ 2 == 0.54","RVR 13"
"6","RVR 14",5.6983632062364,4.17381943877944,0.172658378399941,0.631819835256478,0.63,105,-2.43927547700037,3.62701396216953,6.0662894391699,"MAE==4.174","MBE==0.173","italic(R) ^ 2 == 0.63","RVR 14"
"7","RVR 15",7.06202038929425,4.63124368883051,-0.54800622677837,0.61208151071118,0.61,112,-2.29387621364326,3.21952371727671,5.51339993091997,"MAE==4.631","MBE==-0.548","italic(R) ^ 2 == 0.61","RVR 15"
"8","RVR 16",6.06203319764592,4.35018572208525,-0.242815983437711,0.638121711340106,0.64,111,-2.63769690487164,2.40141499930725,5.0391119041789,"MAE==4.35","MBE==-0.243","italic(R) ^ 2 == 0.64","RVR 16"
"9","RVR 17",6.30856093870236,3.99639055055833,-0.958615470266354,0.708187225229063,0.71,111,-2.49855033701819,2.23024729534274,4.72879763236093,"MAE==3.996","MBE==-0.959","italic(R) ^ 2 == 0.71","RVR 17"
"10","RVR 18",7.12635086296378,5.13277014707908,0.255255181120836,0.463568993943502,0.46,122,-2.50996123831152,3.6541859781787,6.16414721649021,"MAE==5.133","MBE==0.255","italic(R) ^ 2 == 0.46","RVR 18"
"11","RVR 19",8.07186338916931,5.51004104794249,0.381091431039224,0.506379349702122,0.51,113,-2.52995411734735,4.593957015266,7.12391113261335,"MAE==5.51","MBE==0.381","italic(R) ^ 2 == 0.51","RVR 19"
"12","RVR 2",6.20624330365211,4.5842309057186,0.798749740815324,0.568541280871119,0.57,112,-2.58775145616605,4.18828476263125,6.7760362187973,"MAE==4.584","MBE==0.799","italic(R) ^ 2 == 0.57","RVR 2"
"13","RVR 20",5.34172525852694,3.92428636215205,0.846035183971682,0.704931351667686,0.7,104,-1.90809539662595,3.6965331355816,5.60462853220754,"MAE==3.924","MBE==0.846","italic(R) ^ 2 == 0.7","RVR 20"
"14","RVR 21",6.52555525182222,4.72520403442299,-0.353328443334161,0.551049424619971,0.55,111,-2.96114467173441,3.67098290241354,6.63212757414795,"MAE==4.725","MBE==-0.353","italic(R) ^ 2 == 0.55","RVR 21"
