"","label","rmse","mae","mbe","r2","r2.fmt","n","res_q1","res_q3","res_iqr","mae_txt","mbe_txt","r2_txt","label_ordered"
"1","SVR 1",5.77052756255189,4.04583846138235,0.573347346789102,0.591176401509402,0.59,116,-1.56132996376929,3.20416210472778,4.76549206849708,"MAE==4.046","MBE==0.573","italic(R) ^ 2 == 0.59","SVR 1"
"2","SVR 10",7.50243677456537,5.23157308402766,-1.43178101219859,0.509552736305425,0.51,115,-4.78609864789757,2.46323158020661,7.24933022810419,"MAE==5.232","MBE==-1.432","italic(R) ^ 2 == 0.51","SVR 10"
"3","SVR 11",6.98474143871913,4.72153477853891,-0.900720857904692,0.59705775353332,0.6,111,-2.9623870383326,3.02939409951166,5.99178113784426,"MAE==4.722","MBE==-0.901","italic(R) ^ 2 == 0.6","SVR 11"
"4","SVR 12",6.19825373633298,4.46340153211311,-0.566094888472409,0.639865712429331,0.64,111,-2.78295269421591,2.50186669460319,5.2848193888191,"MAE==4.463","MBE==-0.566","italic(R) ^ 2 == 0.64","SVR 12"
"5","SVR 13",8.11619103642896,5.26933602838844,-1.16858099461877,0.557223808474459,0.56,115,-3.26689284075877,2.77655638737449,6.04344922813326,"MAE==5.269","MBE==-1.169","italic(R) ^ 2 == 0.56","SVR 13"
"6","SVR 14",5.77244626889669,3.90383682071426,-0.136677092259926,0.622184360277756,0.62,105,-1.74463114083146,3.03250560584733,4.77713674667879,"MAE==3.904","MBE==-0.137","italic(R) ^ 2 == 0.62","SVR 14"
"7","SVR 15",7.42741777318365,4.5312670840111,-1.63665867198241,0.57090026070585,0.57,112,-2.77050784919013,2.08867000866285,4.85917785785298,"MAE==4.531","MBE==-1.637","italic(R) ^ 2 == 0.57","SVR 15"
"8","SVR 16",5.68245736562234,3.70097663799287,-0.763733242303828,0.682021117256827,0.68,111,-2.04796435612806,1.73106776994377,3.77903212607184,"MAE==3.701","MBE==-0.764","italic(R) ^ 2 == 0.68","SVR 16"
"9","SVR 17",6.98518972328056,4.4858828496288,-1.21335458739947,0.64223314120584,0.64,111,-2.60506166825157,2.4404282053403,5.04548987359187,"MAE==4.486","MBE==-1.213","italic(R) ^ 2 == 0.64","SVR 17"
"10","SVR 18",6.9775685878546,4.86069829953495,-0.198417901149361,0.485734134269996,0.49,122,-2.43261989647846,3.53476359237958,5.96738348885804,"MAE==4.861","MBE==-0.198","italic(R) ^ 2 == 0.49","SVR 18"
"11","SVR 19",7.81514622349201,5.00474821558879,-0.609298196322063,0.537278232786444,0.54,113,-2.53213554903293,3.03180546259187,5.56394101162479,"MAE==5.005","MBE==-0.609","italic(R) ^ 2 == 0.54","SVR 19"
"12","SVR 2",5.27879795322356,3.82991398035503,0.0243307493985544,0.687858340753219,0.69,112,-2.20950748297371,3.13764922418876,5.34715670716247,"MAE==3.83","MBE==0.024","italic(R) ^ 2 == 0.69","SVR 2"
"13","SVR 20",5.19099278641494,3.3678455240796,-0.156916902706727,0.721348860302762,0.72,104,-1.77548042270227,2.46736899326588,4.24284941596815,"MAE==3.368","MBE==-0.157","italic(R) ^ 2 == 0.72","SVR 20"
"14","SVR 21",6.30741375790486,4.33465695545381,-0.373037288764745,0.580563488887677,0.58,111,-2.03167249127885,3.16907081097137,5.20074330225021,"MAE==4.335","MBE==-0.373","italic(R) ^ 2 == 0.58","SVR 21"
"15","SVR 22",7.2919237073781,4.6642608911861,-0.689726772979023,0.555468804495507,0.56,118,-2.9816430479051,2.53749598706285,5.51913903496795,"MAE==4.664","MBE==-0.69","italic(R) ^ 2 == 0.56","SVR 22"
"16","SVR 23",5.10053904107705,3.50339730663378,-0.0577853281466311,0.736734245507489,0.74,103,-1.90402093479608,3.07427307765908,4.97829401245516,"MAE==3.503","MBE==-0.058","italic(R) ^ 2 == 0.74","SVR 23"
"17","SVR 24",6.0307958624935,4.06486111966064,-1.09153512657454,0.679602302014672,0.68,105,-3.11664495969584,2.08732343742694,5.20396839712278,"MAE==4.065","MBE==-1.092","italic(R) ^ 2 == 0.68","SVR 24"
"18","SVR 25",5.72056247376092,4.23269034837456,0.859546199979215,0.592758618675811,0.59,110,-1.49997617474675,3.88959091511737,5.38956708986412,"MAE==4.233","MBE==0.86","italic(R) ^ 2 == 0.59","SVR 25"
"19","SVR 26",5.91623565422988,4.10531146682401,0.0244030137826933,0.618773860613177,0.62,111,-2.18951734285437,2.58085761171278,4.77037495456714,"MAE==4.105","MBE==0.024","italic(R) ^ 2 == 0.62","SVR 26"
"20","SVR 27",5.25163367237154,3.76882568536638,-0.28697765481185,0.726057433454299,0.73,117,-2.57665290189454,2.38793283000707,4.96458573190161,"MAE==3.769","MBE==-0.287","italic(R) ^ 2 == 0.73","SVR 27"
"21","SVR 28",6.73671256771397,4.17486700823716,-1.01692414056952,0.597258700634547,0.6,119,-2.58873556543464,2.50611773553396,5.0948533009686,"MAE==4.175","MBE==-1.017","italic(R) ^ 2 == 0.6","SVR 28"
"22","SVR 29",5.53026406770925,3.57347702793903,-0.193407468155331,0.662776608033744,0.66,112,-1.59213099245472,2.74746079175696,4.33959178421167,"MAE==3.573","MBE==-0.193","italic(R) ^ 2 == 0.66","SVR 29"
"23","SVR 3",6.12978690716163,4.17006377895907,-0.928549631156812,0.643039383568274,0.64,119,-2.53551159662744,2.43864163044698,4.97415322707442,"MAE==4.17","MBE==-0.929","italic(R) ^ 2 == 0.64","SVR 3"
"24","SVR 30",6.49814210867359,4.47124983076881,-1.5351305173991,0.59183405806319,0.59,114,-3.99557150353034,2.45842506063009,6.45399656416043,"MAE==4.471","MBE==-1.535","italic(R) ^ 2 == 0.59","SVR 30"
"25","SVR 4",6.46919113723004,4.44111837540687,-0.46248939016668,0.650440875255569,0.65,111,-2.30027927203641,3.13406102341587,5.43434029545228,"MAE==4.441","MBE==-0.462","italic(R) ^ 2 == 0.65","SVR 4"
"26","SVR 5",7.08618299834714,4.5912298855569,-1.87290581371683,0.652421355189865,0.65,120,-3.06221027955374,2.22553735392074,5.28774763347449,"MAE==4.591","MBE==-1.873","italic(R) ^ 2 == 0.65","SVR 5"
"27","SVR 6",5.87461166435626,4.13790007457985,-0.435468690070525,0.62209411429044,0.62,114,-2.75257726787992,3.40783458571245,6.16041185359237,"MAE==4.138","MBE==-0.435","italic(R) ^ 2 == 0.62","SVR 6"
"28","SVR 7",5.52131342097019,3.81131753484945,-0.806720783444584,0.680207226198475,0.68,109,-2.29085387708948,2.4202877025143,4.71114157960378,"MAE==3.811","MBE==-0.807","italic(R) ^ 2 == 0.68","SVR 7"
"29","SVR 8",5.59823831995787,3.8197241618608,-0.308606744272451,0.605821504666629,0.61,114,-2.62414900549184,2.64760447744721,5.27175348293905,"MAE==3.82","MBE==-0.309","italic(R) ^ 2 == 0.61","SVR 8"
"30","SVR 9",4.7837682113823,3.39212515311312,-0.0272359298913763,0.676466175478558,0.68,110,-1.93109281791209,2.71766239893391,4.648755216846,"MAE==3.392","MBE==-0.027","italic(R) ^ 2 == 0.68","SVR 9"
"31",NA,6.32603111825587,4.23242046402507,-0.58631320633152,0.626095786908392,0.63,3375,-2.42249310141236,2.72641039770118,5.14890349911354,"MAE==4.232","MBE==-0.586","italic(R) ^ 2 == 0.63",NA
