"","label","rmse","mae","mbe","r2","r2.fmt","n","res_q1","res_q3","res_iqr","mae_txt","mbe_txt","r2_txt","label_ordered"
"1","XBRT 1",5.28183881668878,3.60582565685798,0.891466522216797,0.6574884627713,0.66,116,-1.01233749389648,3.14423542022705,4.15657291412353,"MAE==3.606","MBE==0.891","italic(R) ^ 2 == 0.66","XBRT 1"
"2","XBRT 10",6.35069612435318,4.39923494535944,-0.51005781992622,0.648576910318305,0.65,115,-2.56874618530273,2.35366840362549,4.92241458892822,"MAE==4.399","MBE==-0.51","italic(R) ^ 2 == 0.65","XBRT 10"
"3","XBRT 11",6.07919027247192,4.19639992121104,0.196240692224588,0.694765507711497,0.69,111,-1.45481085777283,3.25123062133789,4.70604147911072,"MAE==4.196","MBE==0.196","italic(R) ^ 2 == 0.69","XBRT 11"
"4","XBRT 12",5.80954971468134,4.247137744663,0.153434489138491,0.683618766613578,0.68,111,-2.19289598464966,3.03130521774292,5.22420120239258,"MAE==4.247","MBE==0.153","italic(R) ^ 2 == 0.68","XBRT 12"
"5","XBRT 13",7.05612812432236,4.9052107860731,-0.212618384983229,0.665333181587985,0.67,115,-2.09342112541199,3.70009841918945,5.79351954460144,"MAE==4.905","MBE==-0.213","italic(R) ^ 2 == 0.67","XBRT 13"
"6","XBRT 14",4.87874827930367,3.25762344791776,0.354240959031241,0.730116113497857,0.73,105,-1.2502893447876,2.76010465621948,4.01039400100708,"MAE==3.258","MBE==0.354","italic(R) ^ 2 == 0.73","XBRT 14"
"7","XBRT 15",6.23178344228243,4.2198031231761,-0.880428617554052,0.697930239318852,0.7,112,-2.5233097076416,2.56328835487366,5.08659806251526,"MAE==4.22","MBE==-0.88","italic(R) ^ 2 == 0.7","XBRT 15"
"8","XBRT 16",5.25842120360572,3.27005224431957,-0.452646175912909,0.727706892622591,0.73,111,-1.78334131240845,1.80037450790405,3.5837158203125,"MAE==3.27","MBE==-0.453","italic(R) ^ 2 == 0.73","XBRT 16"
"9","XBRT 17",5.80598908170177,4.11011930134919,-0.118048074009182,0.752829791075516,0.75,111,-2.17047739028931,2.9362850189209,5.10676240921021,"MAE==4.11","MBE==-0.118","italic(R) ^ 2 == 0.75","XBRT 17"
"10","XBRT 18",5.86611829972593,3.79411128945038,-0.15839764495365,0.63651951015206,0.64,122,-1.6112090587616,2.44655103683472,4.05776009559631,"MAE==3.794","MBE==-0.158","italic(R) ^ 2 == 0.64","XBRT 18"
"11","XBRT 19",6.60356093657495,4.45497077735124,-0.198142099169503,0.66962886671673,0.67,113,-2.52655448913574,2.96462678909302,5.49118127822876,"MAE==4.455","MBE==-0.198","italic(R) ^ 2 == 0.67","XBRT 19"
"12","XBRT 2",5.24057517377722,3.72773960812816,1.10427089179201,0.69236229302665,0.69,112,-1.03975830078125,3.87907028198242,4.91882858276367,"MAE==3.728","MBE==1.104","italic(R) ^ 2 == 0.69","XBRT 2"
"13","XBRT 20",4.6236184526747,3.0324656980542,0.408910845449338,0.778932983758028,0.78,104,-0.701265716552735,2.65551595687866,3.3567816734314,"MAE==3.032","MBE==0.409","italic(R) ^ 2 == 0.78","XBRT 20"
"14","XBRT 21",5.45951028342042,3.70872663860923,0.129407973225052,0.685753125543735,0.69,111,-1.58321695327759,2.99640674591064,4.57962369918823,"MAE==3.709","MBE==0.129","italic(R) ^ 2 == 0.69","XBRT 21"
